"","APC","EGFR","FBXW7","NTRK3","b.scores"
"1",0,0,0,0,-0.115547309982096
"2",0,0,0,0,-0.115547309982096
"3",0,1,0,0,-0.115547309982096
"4",0,0,0,0,-0.115547309982096
"5",0,1,0,0,-0.115547309982096
"6",0,0,0,0,-0.115547309982096
"7",0,0,0,0,-0.115547309982096
"8",0,1,0,0,-0.115547309982096
"9",0,0,0,0,-0.115547309982096
"10",0,0,0,0,-0.115547309982096
"11",0,0,0,0,-0.115547309982096
"12",0,0,0,0,-0.115547309982096
"13",0,0,0,0,-0.115547309982096
"14",0,0,0,0,-0.115547309982096
"15",0,0,0,0,-0.115547309982096
"16",0,0,0,0,-0.115547309982096
"17",1,1,0,0,0.0534830232972798
"18",0,0,0,0,-0.115547309982096
"19",0,0,0,0,-0.115547309982096
"20",0,0,0,0,-0.115547309982096
"21",0,0,0,0,-0.115547309982096
"22",0,0,0,0,-0.115547309982096
"23",0,0,0,0,-0.115547309982096
"24",0,0,0,0,-0.115547309982096
"25",0,0,0,0,-0.115547309982096
"26",0,0,0,0,-0.115547309982096
"27",0,0,0,0,-0.115547309982096
"28",0,0,0,0,-0.115547309982096
"29",0,1,0,0,-0.115547309982096
"30",0,0,0,0,-0.115547309982096
"31",0,0,0,0,-0.115547309982096
"32",0,1,0,0,-0.115547309982096
"33",0,0,0,0,-0.115547309982096
"34",0,0,0,0,-0.115547309982096
"35",0,0,0,0,-0.115547309982096
"36",0,0,0,0,-0.115547309982096
"37",0,0,0,0,-0.115547309982096
"38",0,1,0,0,-0.115547309982096
"39",1,0,0,0,0.0534830232972798
"40",0,1,0,0,-0.115547309982096
"41",0,0,0,0,-0.115547309982096
"42",0,0,0,1,-0.115547309982096
"43",0,0,0,0,-0.115547309982096
"44",0,0,0,0,-0.115547309982096
"45",1,0,0,0,0.0534830232972798
"46",0,0,0,0,-0.115547309982096
"47",0,0,0,0,-0.115547309982096
"48",0,0,0,0,-0.115547309982096
"49",0,0,0,0,-0.115547309982096
"50",1,1,0,0,0.0534830232972798
"51",0,0,0,0,-0.115547309982096
"52",0,0,0,0,-0.115547309982096
"53",0,0,0,0,-0.115547309982096
"54",0,0,0,0,-0.115547309982096
"55",0,0,0,0,-0.115547309982096
"56",0,0,0,0,-0.115547309982096
"57",0,0,0,0,-0.115547309982096
"58",0,0,0,0,-0.115547309982096
"59",0,0,0,0,-0.115547309982096
"60",0,0,0,0,-0.115547309982096
"61",0,1,0,0,-0.115547309982096
"62",0,0,0,0,-0.115547309982096
"63",0,0,0,0,-0.115547309982096
"64",0,1,0,0,-0.115547309982096
"65",1,0,0,0,0.0534830232972798
"66",0,0,0,0,-0.115547309982096
"67",0,1,0,0,-0.115547309982096
"68",0,0,0,0,-0.115547309982096
"69",0,0,0,0,-0.115547309982096
"70",0,0,0,0,-0.115547309982096
"71",0,0,1,0,0.449893058284638
"72",0,0,0,0,-0.115547309982096
"73",0,0,0,0,-0.115547309982096
"74",0,0,0,0,-0.115547309982096
"75",0,1,0,0,-0.115547309982096
"76",0,0,0,0,-0.115547309982096
"77",0,0,0,0,-0.115547309982096
"78",0,0,0,0,-0.115547309982096
"79",0,0,0,0,-0.115547309982096
"80",0,0,0,0,-0.115547309982096
"81",0,0,0,0,-0.115547309982096
"82",1,0,0,0,0.0534830232972798
"83",0,0,0,0,-0.115547309982096
"84",0,1,0,0,-0.115547309982096
"85",0,0,0,0,-0.115547309982096
"86",0,0,1,0,0.449893058284638
"87",0,0,0,0,-0.115547309982096
"88",1,1,0,0,0.0534830232972798
"89",0,0,0,0,-0.115547309982096
"90",1,0,0,0,0.0534830232972798
"91",0,0,0,0,-0.115547309982096
"92",0,0,0,0,-0.115547309982096
"93",0,1,0,0,-0.115547309982096
"94",0,0,0,0,-0.115547309982096
"95",0,1,0,0,-0.115547309982096
"96",0,0,0,0,-0.115547309982096
"97",1,1,0,0,0.0534830232972798
"98",0,0,0,0,-0.115547309982096
"99",0,0,0,0,-0.115547309982096
"100",0,0,0,1,-0.115547309982096
"101",0,0,0,0,-0.115547309982096
"102",0,0,0,0,-0.115547309982096
"103",0,0,0,0,-0.115547309982096
"104",0,1,0,0,-0.115547309982096
"105",0,0,0,0,-0.115547309982096
"106",0,1,0,0,-0.115547309982096
"107",0,1,0,0,-0.115547309982096
"108",0,0,0,0,-0.115547309982096
"109",0,0,0,0,-0.115547309982096
"110",0,0,0,0,-0.115547309982096
"111",0,0,0,0,-0.115547309982096
"112",0,1,0,0,-0.115547309982096
"113",0,0,0,0,-0.115547309982096
"114",0,0,0,0,-0.115547309982096
"115",0,0,0,0,-0.115547309982096
"116",1,0,0,0,0.0534830232972798
"117",0,0,0,0,-0.115547309982096
"118",0,0,0,0,-0.115547309982096
"119",0,0,0,0,-0.115547309982096
"120",0,0,0,0,-0.115547309982096
"121",0,0,0,0,-0.115547309982096
"122",0,0,0,0,-0.115547309982096
"123",0,0,0,0,-0.115547309982096
"124",0,1,0,0,-0.115547309982096
"125",0,1,0,0,-0.115547309982096
"126",0,0,0,0,-0.115547309982096
"127",0,0,0,0,-0.115547309982096
"128",0,0,0,0,-0.115547309982096
"129",0,0,0,1,-0.115547309982096
"130",1,0,0,0,0.0534830232972798
"131",1,1,0,0,0.0534830232972798
"132",0,0,0,0,-0.115547309982096
"133",0,0,0,0,-0.115547309982096
"134",0,0,0,0,-0.115547309982096
"135",0,0,0,0,-0.115547309982096
"136",0,1,0,0,-0.115547309982096
"137",0,0,0,0,-0.115547309982096
"138",0,0,0,0,-0.115547309982096
"139",0,0,0,0,-0.115547309982096
"140",0,0,0,0,-0.115547309982096
"141",0,0,0,0,-0.115547309982096
"142",0,0,0,0,-0.115547309982096
"143",0,0,0,0,-0.115547309982096
"144",0,0,0,0,-0.115547309982096
"145",0,1,0,0,-0.115547309982096
"146",0,0,0,0,-0.115547309982096
"147",0,0,0,0,-0.115547309982096
"148",0,0,0,0,-0.115547309982096
"149",0,0,1,0,0.449893058284638
"150",1,0,0,0,0.0534830232972798
"151",0,0,0,0,-0.115547309982096
"152",0,0,0,0,-0.115547309982096
"153",1,0,0,0,0.0534830232972798
"154",0,1,0,0,-0.115547309982096
"155",1,0,0,0,0.0534830232972798
"156",1,0,0,0,0.0534830232972798
"157",0,0,0,0,-0.115547309982096
"158",0,1,0,0,-0.115547309982096
"159",0,1,0,0,-0.115547309982096
"160",0,0,0,0,-0.115547309982096
"161",1,0,0,0,0.0534830232972798
"162",0,0,1,0,0.449893058284638
"163",0,0,0,0,-0.115547309982096
"164",0,0,0,0,-0.115547309982096
"165",0,0,0,0,-0.115547309982096
"166",0,0,0,0,-0.115547309982096
"167",0,0,0,0,-0.115547309982096
"168",0,0,0,0,-0.115547309982096
"169",0,0,0,0,-0.115547309982096
"170",0,0,0,0,-0.115547309982096
"171",0,0,0,0,-0.115547309982096
"172",0,0,0,0,-0.115547309982096
"173",0,0,0,0,-0.115547309982096
"174",0,0,0,0,-0.115547309982096
"175",0,0,0,0,-0.115547309982096
"176",0,0,0,0,-0.115547309982096
"177",0,0,0,0,-0.115547309982096
"178",0,0,0,0,-0.115547309982096
"179",0,0,0,0,-0.115547309982096
"180",0,0,0,0,-0.115547309982096
"181",0,1,0,0,-0.115547309982096
"182",0,0,0,0,-0.115547309982096
"183",0,0,0,0,-0.115547309982096
"184",0,1,0,0,-0.115547309982096
"185",0,0,0,0,-0.115547309982096
"186",0,0,0,0,-0.115547309982096
"187",0,0,0,0,-0.115547309982096
"188",0,1,0,0,-0.115547309982096
"189",0,0,0,0,-0.115547309982096
"190",0,0,0,0,-0.115547309982096
"191",0,0,0,0,-0.115547309982096
"192",0,0,0,0,-0.115547309982096
"193",0,0,0,0,-0.115547309982096
"194",0,0,0,0,-0.115547309982096
"195",0,0,0,0,-0.115547309982096
"196",0,0,1,0,0.449893058284638
"197",0,0,0,0,-0.115547309982096
"198",0,1,0,0,-0.115547309982096
"199",0,0,0,0,-0.115547309982096
"200",0,0,0,0,-0.115547309982096
"201",0,0,0,0,-0.115547309982096
"202",0,0,0,0,-0.115547309982096
"203",0,0,0,0,-0.115547309982096
"204",0,0,0,0,-0.115547309982096
"205",0,0,0,0,-0.115547309982096
"206",0,0,0,1,-0.115547309982096
"207",0,0,0,0,-0.115547309982096
"208",0,0,0,0,-0.115547309982096
"209",0,0,0,0,-0.115547309982096
"210",0,0,0,0,-0.115547309982096
"211",0,0,0,0,-0.115547309982096
"212",0,0,0,0,-0.115547309982096
"213",0,0,0,0,-0.115547309982096
"214",0,0,0,0,-0.115547309982096
"215",0,0,0,0,-0.115547309982096
"216",0,0,0,0,-0.115547309982096
"217",0,0,0,0,-0.115547309982096
"218",0,0,0,0,-0.115547309982096
"219",0,0,0,0,-0.115547309982096
"220",0,0,0,0,-0.115547309982096
"221",0,0,0,0,-0.115547309982096
"222",0,0,0,0,-0.115547309982096
"223",0,0,0,0,-0.115547309982096
"224",0,1,0,0,-0.115547309982096
"225",0,0,0,0,-0.115547309982096
"226",0,0,0,0,-0.115547309982096
"227",0,1,0,0,-0.115547309982096
"228",0,0,0,0,-0.115547309982096
"229",0,0,0,0,-0.115547309982096
"230",0,0,0,1,-0.115547309982096
"231",0,0,0,0,-0.115547309982096
"232",1,1,0,0,0.0534830232972798
"233",0,1,0,0,-0.115547309982096
"234",0,0,0,0,-0.115547309982096
"235",1,0,0,0,0.0534830232972798
"236",0,0,0,0,-0.115547309982096
"237",0,0,1,0,0.449893058284638
"238",0,0,0,0,-0.115547309982096
"239",0,0,0,0,-0.115547309982096
"240",0,0,0,0,-0.115547309982096
"241",0,0,0,0,-0.115547309982096
"242",0,0,0,0,-0.115547309982096
"243",0,0,0,0,-0.115547309982096
"244",0,0,0,0,-0.115547309982096
"245",0,0,0,0,-0.115547309982096
"246",0,0,0,0,-0.115547309982096
"247",0,0,0,0,-0.115547309982096
"248",0,0,0,0,-0.115547309982096
"249",0,0,0,0,-0.115547309982096
"250",0,0,0,0,-0.115547309982096
"251",0,0,0,0,-0.115547309982096
"252",0,0,0,0,-0.115547309982096
"253",0,0,0,0,-0.115547309982096
"254",0,0,0,1,-0.115547309982096
"255",0,0,0,0,-0.115547309982096
"256",0,0,0,0,-0.115547309982096
"257",0,0,0,0,-0.115547309982096
"258",0,1,0,0,-0.115547309982096
"259",0,0,0,0,-0.115547309982096
"260",0,0,0,0,-0.115547309982096
"261",0,0,0,0,-0.115547309982096
"262",0,0,0,0,-0.115547309982096
"263",0,0,0,0,-0.115547309982096
"264",0,0,0,0,-0.115547309982096
"265",0,0,0,0,-0.115547309982096
"266",0,0,0,0,-0.115547309982096
"267",0,0,0,0,-0.115547309982096
"268",0,0,0,0,-0.115547309982096
"269",0,0,0,0,-0.115547309982096
"270",0,0,0,0,-0.115547309982096
"271",0,0,0,0,-0.115547309982096
"272",0,0,0,0,-0.115547309982096
"273",0,0,0,0,-0.115547309982096
"274",0,0,0,0,-0.115547309982096
"275",0,0,0,0,-0.115547309982096
"276",0,0,0,0,-0.115547309982096
"277",0,1,0,0,-0.115547309982096
"278",0,0,0,0,-0.115547309982096
"279",0,0,0,0,-0.115547309982096
"280",0,0,0,0,-0.115547309982096
"281",0,0,0,0,-0.115547309982096
"282",0,1,0,0,-0.115547309982096
"283",0,0,0,0,-0.115547309982096
"284",0,0,0,0,-0.115547309982096
"285",0,0,0,0,-0.115547309982096
"286",0,0,0,0,-0.115547309982096
"287",1,1,0,0,0.0534830232972798
"288",0,0,0,0,-0.115547309982096
"289",0,1,0,0,-0.115547309982096
"290",0,1,0,0,-0.115547309982096
"291",0,0,0,0,-0.115547309982096
"292",0,0,0,0,-0.115547309982096
"293",0,0,0,0,-0.115547309982096
"294",0,0,0,0,-0.115547309982096
"295",0,0,0,0,-0.115547309982096
"296",0,0,0,0,-0.115547309982096
"297",0,0,0,0,-0.115547309982096
"298",0,0,0,0,-0.115547309982096
"299",0,0,0,0,-0.115547309982096
"300",0,0,0,0,-0.115547309982096
"301",0,1,0,0,-0.115547309982096
"302",0,0,0,0,-0.115547309982096
"303",0,1,0,0,-0.115547309982096
"304",0,0,0,0,-0.115547309982096
"305",0,0,0,0,-0.115547309982096
"306",0,0,0,0,-0.115547309982096
"307",0,0,0,0,-0.115547309982096
"308",0,0,0,1,-0.115547309982096
"309",0,0,0,0,-0.115547309982096
"310",0,0,0,0,-0.115547309982096
"311",0,0,0,0,-0.115547309982096
"312",0,0,0,0,-0.115547309982096
"313",0,0,0,1,-0.115547309982096
"314",0,1,0,0,-0.115547309982096
"315",1,0,0,0,0.0534830232972798
"316",0,0,0,0,-0.115547309982096
"317",0,0,0,0,-0.115547309982096
"318",0,0,0,0,-0.115547309982096
"319",0,0,0,0,-0.115547309982096
"320",0,0,0,0,-0.115547309982096
"321",0,0,0,0,-0.115547309982096
"322",1,0,0,0,0.0534830232972798
"323",0,0,0,0,-0.115547309982096
"324",0,0,0,0,-0.115547309982096
"325",0,0,0,0,-0.115547309982096
"326",0,0,0,0,-0.115547309982096
"327",0,1,0,0,-0.115547309982096
"328",0,0,0,0,-0.115547309982096
"329",1,0,0,0,0.0534830232972798
"330",0,0,0,0,-0.115547309982096
"331",0,1,0,0,-0.115547309982096
"332",0,0,0,0,-0.115547309982096
"333",0,0,0,0,-0.115547309982096
"334",0,0,0,0,-0.115547309982096
"335",0,0,0,0,-0.115547309982096
"336",0,0,0,0,-0.115547309982096
"337",0,0,0,0,-0.115547309982096
"338",0,0,0,0,-0.115547309982096
"339",0,1,0,0,-0.115547309982096
"340",0,0,0,1,-0.115547309982096
"341",0,0,0,1,-0.115547309982096
"342",0,0,0,0,-0.115547309982096
"343",0,0,1,0,0.449893058284638
"344",0,0,0,0,-0.115547309982096
"345",0,0,0,0,-0.115547309982096
"346",0,0,0,0,-0.115547309982096
"347",0,0,0,0,-0.115547309982096
"348",0,0,0,0,-0.115547309982096
"349",0,0,0,0,-0.115547309982096
"350",1,0,0,0,0.0534830232972798
"351",0,0,0,0,-0.115547309982096
"352",0,0,0,0,-0.115547309982096
"353",0,0,0,0,-0.115547309982096
"354",0,0,0,0,-0.115547309982096
"355",0,0,0,0,-0.115547309982096
"356",0,0,0,0,-0.115547309982096
"357",0,0,0,0,-0.115547309982096
"358",0,1,0,0,-0.115547309982096
"359",0,1,0,0,-0.115547309982096
"360",0,0,0,0,-0.115547309982096
"361",0,0,0,0,-0.115547309982096
"362",0,0,0,0,-0.115547309982096
"363",0,0,0,0,-0.115547309982096
"364",0,0,0,0,-0.115547309982096
"365",0,0,0,0,-0.115547309982096
"366",0,0,0,0,-0.115547309982096
"367",1,0,0,0,0.0534830232972798
"368",0,0,0,0,-0.115547309982096
"369",0,0,0,0,-0.115547309982096
"370",0,0,0,0,-0.115547309982096
"371",1,1,0,0,0.0534830232972798
"372",0,0,0,0,-0.115547309982096
"373",0,0,0,0,-0.115547309982096
"374",0,0,0,0,-0.115547309982096
"375",0,0,0,0,-0.115547309982096
"376",0,0,0,0,-0.115547309982096
"377",0,0,0,0,-0.115547309982096
"378",0,0,0,0,-0.115547309982096
"379",0,1,0,0,-0.115547309982096
"380",0,0,0,0,-0.115547309982096
"381",0,0,0,0,-0.115547309982096
"382",0,0,0,0,-0.115547309982096
